agent_id,agent_name,role,title,status,adapter_type,budget_monthly_cents,spent_monthly_cents,last_heartbeat_at,is_active,pause_reason,paused_at,deleted_at,created_at,updated_at,capabilities,icon,model_config,device_config,adapter_config,runtime_config,permissions,metadata,company_id,company_name,company_status,reports_to_name,reports_to_role,manager_company_name
660e8400-e29b-41d4-a716-446655440022,Alex,general,Content Architecture Director,idle,http,0,0,2026-04-21 09:28:16.323+00,true,null,null,null,2026-04-11 00:52:39.316183+00,2026-04-21 09:59:29.872927+00,"Content architecture design, platform integration strategy, content systems design, and technical content infrastructure.",null,null,null,"{""url"":""https://hermes-agent-web-6eeu.onrender.com/"",""model"":""openrouter/qwen/qwen-3-6-plus"",""timeoutSec"":300,""persistSession"":true}","{""heartbeat"":{""enabled"":false,""intervalSec"":300,""wakeOnDemand"":true,""wakeOnAssignment"":true,""wakeOnAutomation"":true,""maxConcurrentRuns"":1}}","{""canCreateAgents"":false}","{""team"":""Executive"",""specialization"":""Content Architecture""}",550e8400-e29b-41d4-a716-446655440008,ContentForge AI,active,Jude,ceo,Loopy AI
660e8400-e29b-41d4-a716-446655440030,Avery,general,Content Scheduling Coordinator,idle,http,0,0,2026-04-21 09:30:09.58+00,true,null,null,null,2026-04-11 00:52:39.316183+00,2026-04-21 09:59:29.872927+00,"Content scheduling and planning, editorial calendar management, content distribution timing, and publishing optimization.",null,null,null,"{""url"":""https://hermes-agent-web-6eeu.onrender.com/"",""model"":""openrouter/qwen/qwen-3-6-plus"",""timeoutSec"":300,""persistSession"":true}","{""heartbeat"":{""enabled"":false,""intervalSec"":300,""wakeOnDemand"":true,""wakeOnAssignment"":true,""wakeOnAutomation"":true,""maxConcurrentRuns"":3}}","{""canCreateAgents"":false}","{""team"":""Content Strategy"",""specialization"":""Content Scheduling""}",550e8400-e29b-41d4-a716-446655440008,ContentForge AI,active,Jude,ceo,Loopy AI
660e8400-e29b-41d4-a716-446655440031,Casey,general,Content Platform Engineer,idle,http,0,0,2026-04-21 09:31:21.958+00,true,null,null,null,2026-04-11 00:52:39.316183+00,2026-04-21 09:59:29.872927+00,"Content platform development, API integration, content management systems, and platform scalability optimization.",null,null,null,"{""url"":""https://hermes-agent-web-6eeu.onrender.com/"",""model"":""openrouter/qwen/qwen-3-6-plus"",""timeoutSec"":300,""persistSession"":true}","{""heartbeat"":{""enabled"":false,""intervalSec"":300,""wakeOnDemand"":true,""wakeOnAssignment"":true,""wakeOnAutomation"":true,""maxConcurrentRuns"":1}}","{""canCreateAgents"":false}","{""team"":""Content Technology"",""specialization"":""Platform Engineering""}",550e8400-e29b-41d4-a716-446655440008,ContentForge AI,active,Alex,general,ContentForge AI
550e8400-e29b-41d4-a716-446655440014,Charlie,specialist,Social Media Strategist,idle,http,0,0,2026-04-21 09:31:00.068+00,true,null,null,null,2026-04-12 09:27:27.864088+00,2026-04-21 09:59:29.872927+00,Social media strategy and content planning,null,null,null,"{""url"":""https://hermes-agent-web-6eeu.onrender.com/"",""model"":""openrouter/qwen/qwen-3-6-plus"",""timeoutSec"":300,""persistSession"":true}","{""heartbeat"":{""enabled"":false,""intervalSec"":300,""wakeOnDemand"":true,""wakeOnAssignment"":true,""wakeOnAutomation"":true,""maxConcurrentRuns"":1},""persistSession"":true}","{""canCreateAgents"":false}","{""team"":""ContentForge AI"",""source"":""documentation""}",550e8400-e29b-41d4-a716-446655440008,ContentForge AI,active,Jude,ceo,Loopy AI
a63b683f-2d29-46e5-aa48-d968a0bec1f9,Chatter,specialist,Channel Integration Specialist,idle,http,250000,0,2026-04-21 09:27:40.791+00,true,null,null,null,2026-04-20 15:32:42.078001+00,2026-04-21 09:59:29.872927+00,Multi-platform communication handling; Channel integration and synchronization; Communication protocol management; Cross-channel coordination; Integration testing and validation.,📡,null,null,"{""url"":""https://hermes-agent-web-6eeu.onrender.com/"",""model"":""anthropic/claude-haiku-3.5"",""skills"":[""multi-platform-communication"",""channel-integration"",""protocol-management"",""cross-channel-coordination"",""integration-testing"",""validation-verification"",""synchronization-management"",""platform-optimization""],""max_tokens"":1536,""temperature"":0.3}","{""heartbeat"":{""enabled"":false,""intervalSec"":300,""wakeOnDemand"":true,""wakeOnAssignment"":true,""wakeOnAutomation"":true,""maxConcurrentRuns"":1},""error_handling"":{""auto_retry"":true,""escalation_enabled"":false},""retry_attempts"":3,""timeout_seconds"":240,""max_concurrent_tasks"":25}","{""access"":{""admin_functions"":false,""read_channel_data"":true,""write_integration_logs"":true},""execute"":{""allowed_domains"":[""docs-paperclip"",""docs-construct-ai""],""automation_engine"":""channel_specialist""},""integrate"":{""cross_channel_sync"":true,""platform_protocols"":true,""communication_channels"":true}}","{""layer"":""specialized"",""department"":""communication-workflow"",""human_name"":""Chatter"",""created_via"":""ATLAS-WORKFLOW-ARCHITECTURE"",""specialization"":""channel-integration""}",550e8400-e29b-41d4-a716-446655440008,ContentForge AI,active,Jude,ceo,Loopy AI
550e8400-e29b-41d4-a716-446655440003,Conversion Analyst,specialist,Conversion Optimization Specialist,idle,http,0,0,2026-04-21 09:31:23.773+00,true,null,null,null,2026-04-12 09:27:27.864088+00,2026-04-21 09:59:29.872927+00,Conversion analysis and optimization,null,null,null,"{""url"":""https://hermes-agent-web-6eeu.onrender.com/"",""model"":""openrouter/qwen/qwen-3-6-plus"",""timeoutSec"":300,""persistSession"":true}","{""heartbeat"":{""enabled"":false,""intervalSec"":300,""wakeOnDemand"":true,""wakeOnAssignment"":true,""wakeOnAutomation"":true,""maxConcurrentRuns"":1},""persistSession"":true}","{""canCreateAgents"":false}","{""team"":""ContentForge AI"",""source"":""documentation""}",550e8400-e29b-41d4-a716-446655440008,ContentForge AI,active,Jude,ceo,Loopy AI
550e8400-e29b-41d4-a716-446655440004,Conversion Specialist,specialist,Conversion Rate Optimization Expert,idle,http,0,0,2026-04-21 09:24:04.533+00,true,null,null,null,2026-04-12 09:27:27.864088+00,2026-04-21 09:59:29.872927+00,Conversion rate optimization and testing,null,null,null,"{""url"":""https://hermes-agent-web-6eeu.onrender.com/"",""model"":""openrouter/qwen/qwen-3-6-plus"",""timeoutSec"":300,""persistSession"":true}","{""heartbeat"":{""enabled"":false,""intervalSec"":300,""wakeOnDemand"":true,""wakeOnAssignment"":true,""wakeOnAutomation"":true,""maxConcurrentRuns"":1},""persistSession"":true}","{""canCreateAgents"":false}","{""team"":""ContentForge AI"",""source"":""documentation""}",550e8400-e29b-41d4-a716-446655440008,ContentForge AI,active,Jude,ceo,Loopy AI
550e8400-e29b-41d4-a716-446655440005,Data Analyst,specialist,Content Performance Analyst,idle,http,0,0,2026-04-21 09:28:10.444+00,true,null,null,null,2026-04-12 09:27:27.864088+00,2026-04-21 09:59:29.872927+00,Content performance data analysis,null,null,null,"{""url"":""https://hermes-agent-web-6eeu.onrender.com/"",""model"":""openrouter/qwen/qwen-3-6-plus"",""timeoutSec"":300,""persistSession"":true}","{""heartbeat"":{""enabled"":false,""intervalSec"":300,""wakeOnDemand"":true,""wakeOnAssignment"":true,""wakeOnAutomation"":true,""maxConcurrentRuns"":3},""persistSession"":true}","{""canCreateAgents"":false}","{""team"":""ContentForge AI"",""source"":""documentation""}",550e8400-e29b-41d4-a716-446655440008,ContentForge AI,active,Jude,ceo,Loopy AI
ff1c9528-d385-4f73-914f-42d39f29232e,Designer,specialist,Workflow UX Designer,idle,http,400000,0,2026-04-21 09:28:08.423+00,true,null,null,null,2026-04-20 15:32:42.078001+00,2026-04-21 09:59:29.872927+00,Cross-workflow interface standardization; Adaptive UI pattern generation; User interaction analysis and optimization; Accessibility and usability validation; Workflow visualization design; User experience research and testing.,🎨,null,null,"{""url"":""https://hermes-agent-web-6eeu.onrender.com/"",""model"":""anthropic/claude-haiku-3.5"",""skills"":[""interface-standardization"",""adaptive-ui-generation"",""user-interaction-analysis"",""accessibility-validation"",""workflow-visualization"",""ux-research"",""usability-testing"",""design-optimization""],""max_tokens"":2048,""temperature"":0.5}","{""heartbeat"":{""enabled"":false,""intervalSec"":300,""wakeOnDemand"":true,""wakeOnAssignment"":true,""wakeOnAutomation"":true,""maxConcurrentRuns"":1},""error_handling"":{""auto_retry"":true,""escalation_enabled"":false},""retry_attempts"":2,""timeout_seconds"":600,""max_concurrent_tasks"":10}","{""access"":{""read_ux_data"":true,""admin_functions"":false,""write_design_specifications"":true},""design"":{""user_experiences"":true,""workflow_interfaces"":true,""visualization_systems"":true},""execute"":{""allowed_domains"":[""docs-paperclip"",""docs-construct-ai""],""automation_engine"":""ux_designer""}}","{""layer"":""support"",""department"":""support-layer"",""human_name"":""Designer"",""created_via"":""ATLAS-WORKFLOW-ARCHITECTURE"",""specialization"":""workflow-ux-design""}",550e8400-e29b-41d4-a716-446655440008,ContentForge AI,active,Jude,ceo,Loopy AI
a51d78f8-34ee-4bcd-89dd-9cef6268dfba,Echo,specialist,Communication Orchestrator,idle,http,400000,0,2026-04-21 09:28:17.846+00,true,null,null,null,2026-04-20 15:32:42.078001+00,2026-04-21 09:59:29.872927+00,Multi-agent coordination for correspondence workflows; Parallel processing orchestration with human validation; Stakeholder notification management; Response tracking and communication sequencing; Multi-channel integration and conflict resolution.,🗣️,null,null,"{""url"":""https://hermes-agent-web-6eeu.onrender.com/"",""model"":""anthropic/claude-sonnet-3.5"",""skills"":[""multi-agent-coordination"",""parallel-processing-orchestration"",""stakeholder-notification-management"",""human-validation-integration"",""communication-workflow-optimization"",""response-tracking"",""channel-integration"",""workflow-status-monitoring""],""max_tokens"":4096,""temperature"":0.5}","{""heartbeat"":{""enabled"":false,""intervalSec"":300,""wakeOnDemand"":true,""wakeOnAssignment"":true,""wakeOnAutomation"":true,""maxConcurrentRuns"":1},""error_handling"":{""auto_retry"":true,""escalation_enabled"":true},""retry_attempts"":2,""timeout_seconds"":600,""max_concurrent_tasks"":15}","{""access"":{""admin_functions"":false,""read_communication_data"":true,""write_communication_logs"":true},""execute"":{""allowed_domains"":[""docs-paperclip"",""docs-construct-ai""],""automation_engine"":""communication_orchestrator""},""orchestrate"":{""parallel_processing"":true,""stakeholder_management"":true,""communication_workflows"":true}}","{""layer"":""specialized"",""department"":""communication-workflow"",""human_name"":""Echo"",""created_via"":""ATLAS-WORKFLOW-ARCHITECTURE"",""specialization"":""communication-orchestration""}",550e8400-e29b-41d4-a716-446655440008,ContentForge AI,active,Jude,ceo,Loopy AI
